group_id,source_sheet,source_row,service_no,guest_type,pax_clean,queue_start,queue_end,meal_start_clean,meal_end_clean,table_code,service_status,wait_minutes_recorded,wait_minutes_strict,meal_minutes,queue_observed,walkaway,queue_eligible,meal_eligible,pax_eligible,table_status,table_units_confirmed,needs_review,review_reason
183_4,183,5,4,In house,2,,,07:07:00,07:53:00,16,direct_meal,,,46.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_5,183,6,5,In house,1,,,,,8A,direct_meal,,,,0,0,0,0,1,documented,8A,1,เวลาเริ่มกินก่อน 06:00 ต้องยืนยัน
183_6,183,7,6,In house,1,,,07:34:00,07:47:00,8C,direct_meal,,,13.0,0,0,0,1,1,documented,8C,0,
183_7,183,8,7,In house,1,,,07:35:00,07:45:00,6,direct_meal,,,10.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_8,183,9,8,In house,1,,,07:44:00,07:59:00,10B,direct_meal,,,15.0,0,0,0,1,1,documented,10B,0,
183_9,183,10,9,In house,2,,,07:45:00,08:07:00,1,direct_meal,,,22.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_10,183,11,10,In house,2,,,07:46:00,09:27:00,6,direct_meal,,,101.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_11,183,12,11,In house,1,,,07:49:00,08:13:00,7B,direct_meal,,,24.0,0,0,0,1,1,documented,7B,0,
183_12,183,13,12,Walk in,1,,,07:55:00,09:21:00,8A,direct_meal,,,86.0,0,0,0,1,1,documented,8A,0,
183_13,183,14,13,Walk in,1,,,07:58:00,08:59:00,4B,direct_meal,,,61.0,0,0,0,1,1,documented,4B,0,
183_14,183,15,14,Walk in,2,,,08:03:00,08:35:00,16,direct_meal,,,32.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_15,183,16,15,In house,2,,,08:05:00,08:50:00,10B,direct_meal,,,45.0,0,0,0,1,1,documented,10B,0,
183_16,183,17,16,In house,2,,,08:06:00,08:36:00,11A,direct_meal,,,30.0,0,0,0,1,1,documented,11A,0,
183_17,183,18,17,Walk in,1,,,08:15:00,09:00:00,1A,direct_meal,,,45.0,0,0,0,1,1,documented,1A,0,
183_18,183,19,18,Walk in,1,,,08:16:00,09:54:00,1B,direct_meal,,,98.0,0,0,0,1,1,documented,1B,0,
183_19,183,20,19,Walk in,1,,,08:18:00,09:37:00,7B,direct_meal,,,79.0,0,0,0,1,1,documented,7B,0,
183_20,183,21,20,In house,2,,,08:25:00,09:05:00,3,direct_meal,,,40.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_21,183,22,21,In house,2,,,08:28:00,09:06:00,8B,direct_meal,,,38.0,0,0,0,1,1,documented,8B,0,
183_22,183,23,22,Walk in,2,,,08:29:00,09:19:00,15,direct_meal,,,50.0,0,0,0,1,1,documented,15,0,
183_23,183,24,23,In house,4,,,08:30:00,09:10:00,2,direct_meal,,,40.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_24,183,25,24,Walk in,1,,,08:40:00,09:29:00,16,direct_meal,,,49.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_25,183,26,25,In house,2,,,08:42:00,09:35:00,11B,direct_meal,,,53.0,0,0,0,1,1,documented,11B,0,
183_26,183,27,26,In house,3,,,08:43:00,08:58:00,5,direct_meal,,,15.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_27,183,28,27,In house,1,,,08:44:00,09:13:00,7B,direct_meal,,,29.0,0,0,0,1,1,documented,7B,0,
183_28,183,29,28,Walk in,5,,,08:47:00,10:26:00,12/13,direct_meal,,,99.0,0,0,0,1,1,slash_needs_confirmation,,1,รหัสโต๊ะต้องยืนยัน
183_29,183,30,29,Walk in,1,,,08:49:00,09:25:00,4A,direct_meal,,,36.0,0,0,0,1,1,documented,4A,0,
183_30,183,31,30,In house,1,,,08:49:00,10:55:00,7A,direct_meal,,,126.0,0,0,0,1,1,documented,7A,0,
183_31,183,32,31,In house,1,,,08:43:00,09:35:00,14,direct_meal,,,52.0,0,0,0,1,1,documented,14,0,
183_32,183,33,32,In house,2,,,09:00:00,10:00:00,5B,direct_meal,,,60.0,0,0,0,1,1,documented,5B,0,
183_33,183,34,33,Walk in,1,,,09:08:00,10:03:00,8B,direct_meal,,,55.0,0,0,0,1,1,documented,8B,0,
183_34,183,35,34,In house,2,,,09:11:00,10:11:00,1A,direct_meal,,,60.0,0,0,0,1,1,documented,1A,0,
183_35,183,36,35,Walk in,4,,,09:12:00,10:08:00,9,direct_meal,,,56.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_36,183,37,36,Walk in,2,,,09:13:00,10:05:00,3,direct_meal,,,52.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_37,183,38,37,Walk in,2,,,09:20:00,09:54:00,4B/5A,direct_meal,,,34.0,0,0,0,1,1,slash_needs_confirmation,,1,รหัสโต๊ะต้องยืนยัน
183_38,183,39,38,Walk in,2,,,09:22:00,10:15:00,15,direct_meal,,,53.0,0,0,0,1,1,documented,15,0,
183_39,183,40,39,Walk in,1,,,09:37:00,10:46:00,4A,direct_meal,,,69.0,0,0,0,1,1,documented,4A,0,
183_40,183,41,40,Walk in,1,,,09:47:00,12:10:00,6B,direct_meal,,,143.0,0,0,0,1,1,documented,6B,0,
183_41,183,42,41,Walk in,1,,,09:48:00,10:45:00,6A,direct_meal,,,57.0,0,0,0,1,1,documented,6A,0,
183_42,183,43,42,Walk in,4,,,09:49:00,11:41:00,2,direct_meal,,,112.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
183_43,183,44,43,Walk in,2,,,09:56:00,10:45:00,16,direct_meal,,,49.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
